apellido,porcentaje_de_poblacion_portadora,ranking,origen
González,1.619,1,español
Rodríguez,1.288,2,español
Gómez,1.192,3,español
Fernández,1.079,4,español
López,1.077,5,español
Martínez,0.965,6,español
Díaz,0.946,7,español
Pérez,0.77,8,español
Sánchez,0.746,9,español
Romero,0.735,10,español
García,0.721,11,
Sosa,0.529,12,
Benítez,0.488,13,
Ramírez,0.484,14,
Ruiz,0.48,15,
Torres,0.48,16,
Flores,0.467,17,
Álvarez,0.443,18,
Acosta,0.412,19,
Rojas,0.402,20,
